Rank,Team,Goals,Assists,Attempts At Goal,Attempts On Target,Off Target Attempts,Attempts At Goal Conv.Rate (%),Attempts Inside Penalty Area,Attempts Outside Penalty Area,Headed Attempts At Goal,xG,xG Efficiency,Corners,Possession Control (%)
1,England,20,14,118,52,40,17,88,30,27,15.03,1.33,40,50
1,France,20,18,139,59,59,14,77,62,10,16.78,1.19,51,51
3,Argentina,19,12,115,46,49,17,66,49,22,15.45,1.23,41,53
4,Spain,14,10,140,54,59,10,79,61,22,17.48,0.8,54,58
4,Belgium,14,10,112,35,43,13,74,38,16,10.62,1.32,24,46
6,Norway,13,10,65,30,25,20,52,13,13,9.93,1.31,29,49
7,USA,11,4,59,19,24,19,47,12,12,6.37,1.73,26,52
7,Germany,11,10,74,28,26,15,48,26,12,8.64,1.27,34,56
7,Netherlands,11,10,46,22,15,24,35,11,14,5.0,2.2,18,50
10,Senegal,10,9,68,22,32,15,38,30,7,7.22,1.38,22,49
10,Switzerland,10,6,74,30,28,14,50,24,7,9.59,1.04,28,49
10,Brazil,10,8,73,29,24,14,50,23,11,10.88,0.92,27,48
10,Morocco,10,9,69,26,23,14,39,30,10,6.57,1.52,30,53
10,Mexico,10,7,70,21,32,14,44,26,13,8.1,1.23,19,48
15,Canada,9,3,81,32,29,11,57,24,16,9.02,1.0,50,46
16,Portugal,8,4,62,17,31,13,40,22,8,6.39,1.25,22,53
16,Egypt,8,8,67,19,30,12,42,25,10,5.75,1.39,26,46
16,Japan,8,7,32,11,15,25,16,16,5,3.17,2.52,13,42
19,Sweden,7,6,48,23,18,15,30,18,8,4.66,1.5,18,43
20,Austria,6,4,31,8,18,19,19,12,7,3.88,1.55,10,41
20,Croatia,6,5,37,17,14,16,21,16,8,3.41,1.76,12,46
22,Bosnia and Herzegovina,5,3,37,14,14,14,16,21,5,2.04,2.45,15,40
22,Congo DR,5,3,41,10,25,12,18,23,5,3.71,1.35,13,37
22,Algeria,5,3,44,16,16,11,26,18,5,4.73,1.06,14,56
22,Côte d'Ivoire,5,4,45,14,17,11,30,15,3,5.5,0.91,26,45
22,Colombia,5,5,94,31,40,5,55,39,13,7.32,0.68,24,53
27,New Zealand,4,3,31,15,8,13,19,12,6,2.48,1.62,10,42
27,Cabo Verde,4,2,49,12,21,8,20,29,6,2.56,1.56,17,35
29,Australia,3,1,42,13,19,7,26,16,6,2.73,1.1,16,35
29,Paraguay,3,3,35,8,18,9,17,18,4,1.99,1.51,10,27
29,Türkiye,3,2,70,14,35,4,37,33,7,5.5,0.55,22,58
29,Uruguay,3,1,49,13,25,6,27,22,15,3.95,0.76,26,51
29,IR Iran,3,1,37,10,15,8,26,11,7,4.57,0.66,8,37
29,Jordan,3,3,24,9,9,13,13,11,3,1.87,1.6,6,29
35,Qatar,2,1,17,6,10,12,10,7,2,1.88,1.06,9,31
35,Ghana,2,2,23,3,10,9,12,11,3,2.34,0.85,8,34
35,Tunisia,2,2,18,6,8,11,6,12,4,1.12,1.78,9,36
35,Czechia,2,2,34,8,15,6,22,12,10,2.44,0.82,15,37
35,Korea Republic,2,2,32,11,13,6,21,11,9,3.38,0.59,12,56
35,Uzbekistan,2,1,18,5,8,11,10,8,2,1.71,1.17,9,35
35,Haiti,2,1,31,7,15,6,16,15,5,1.62,1.24,9,42
35,South Africa,2,1,39,11,18,5,13,26,5,2.48,0.8,11,46
35,Ecuador,2,2,53,20,26,4,35,18,12,5.88,0.34,25,52
44,Curaçao,1,0,29,7,18,3,14,15,4,1.7,0.59,5,32
44,Scotland,1,0,29,7,12,3,23,6,6,2.34,0.43,12,41
44,Saudi Arabia,1,0,17,8,5,6,8,9,3,1.52,0.66,7,33
44,Iraq,1,1,21,2,13,5,12,9,6,2.11,0.47,7,37
48,Panama,0,0,32,7,16,0,20,12,5,2.19,0.0,12,42
