Rank,Name,Nationality,Position,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv.Rate (%),Attempts Inside Penalty Area,Attempts Outside Penalty Area,Headed Attempts At Goal,xG,xG Efficiency,Corners
37,Ehsan Haddad,JOR,DF,1,0,1,0,1,0,0,0.03,0.0,0
37,Kaishu Sano,JPN,MF,1,1,1,100,0,1,0,0.09,11.52,0
37,Lee Kangin,KOR,MF,1,1,4,0,1,3,0,0.15,0.0,9
37,Chancel Mbemba,COD,DF,1,0,1,0,1,0,0,0.05,0.0,0
37,Keito Nakamura,JPN,MF,1,2,5,20,2,3,0,0.17,5.98,0
37,Koki Ogawa,JPN,FW,1,0,3,0,3,0,2,0.22,0.0,0
37,Edmilson Junior,QAT,FW,1,2,3,0,3,0,0,0.43,0.0,0
37,Mousa Altamari,JOR,FW,1,3,8,13,4,4,0,1.13,0.89,0
37,Meschack Elia,COD,FW,1,2,2,0,0,2,0,0.05,0.0,0
37,Ferran Torres,ESP,FW,1,4,14,7,13,1,5,2.72,0.37,0
37,Alexandr Sojka,CZE,MF,1,0,0,0,0,0,0,0.0,0.0,1
37,Baris Alper Yilmaz,TUR,FW,1,0,1,100,0,1,0,0.06,16.87,0
37,Ruben Vargas,SUI,FW,1,4,6,33,4,2,0,1.31,1.53,11
37,Dennis Hadzikadunic,BIH,DF,1,0,0,0,0,0,0,0.0,0.0,0
37,Vladimir Coufal,CZE,DF,1,0,1,0,1,0,1,0.02,0.0,9
37,Tim Payne,NZL,DF,1,0,1,0,0,1,0,0.02,0.0,3
37,Orkun Kokcu,TUR,MF,1,0,3,0,2,1,0,0.56,0.0,2
37,Ricardo Rodriguez,SUI,DF,1,0,1,0,0,1,0,0.02,0.0,4
37,Lucas Bergvall,SWE,MF,1,0,2,0,2,0,1,0.68,0.0,0
37,Ivan Basic,BIH,MF,1,0,4,0,0,4,0,0.15,0.0,5
37,Paul Okon Engstler,AUS,MF,1,0,0,0,0,0,0,0.0,0.0,1
37,Aymeric Laporte,ESP,DF,1,2,5,0,3,2,3,0.36,0.0,0
37,Alex Baena,ESP,MF,1,5,12,8,4,8,0,0.5,2.0,28
37,Sead Kolasinac,BIH,DF,1,0,0,0,0,0,0,0.0,0.0,0
37,Akmal Mozgovoy,UZB,MF,1,0,1,0,1,0,0,0.08,0.0,0
37,Marcos Llorente,ESP,DF,1,0,0,0,0,0,0,0.0,0.0,0
37,Mikel Oyarzabal,ESP,FW,1,12,23,22,16,7,5,4.33,1.14,0
37,Nico Williams,ESP,FW,1,2,4,0,2,2,1,0.56,0.0,3
37,Charles De Ketelaere,BEL,FW,1,5,6,50,6,0,3,1.51,1.98,0
37,Marcus Rashford,ENG,FW,1,5,12,8,9,3,2,1.03,0.97,0
37,Timothy Castagne,BEL,DF,1,1,3,0,2,1,1,0.14,0.0,0
37,Virgil Van Dijk,NED,DF,1,2,2,50,2,0,2,0.14,7.26,0
