Rank,Name,Nationality,Position,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv.Rate (%),Attempts Inside Penalty Area,Attempts Outside Penalty Area,Headed Attempts At Goal,xG,xG Efficiency,Corners
167,Luiz Henrique,BRA,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Danilo,BRA,DF,0,0,1,0,1,0,0,0.04,0.0,0
167,Alejandro Romero Gamarra,PAR,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Santiago Bueno,URU,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Alvaro Montero,COL,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Cristian Romero,ARG,DF,0,2,3,33,3,0,3,0.41,2.45,0
167,Darwin Nunez,URU,FW,0,0,2,0,1,1,1,0.2,0.0,0
167,Junior Alonso,PAR,DF,0,1,3,0,1,2,0,0.2,0.0,0
167,Matt Turner,USA,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Alberto Quintero,PAN,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Luis Mejia,PAN,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Jhon Lucumi,COL,DF,0,0,2,0,2,0,2,0.11,0.0,0
167,Sebastian Caceres,URU,DF,0,0,3,0,2,1,2,0.13,0.0,0
167,Ederson,BRA,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Alexandro Maidana,PAR,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Davinson Sanchez,COL,DF,0,2,6,0,5,1,4,0.54,0.0,0
167,Emiliano Martinez,URU,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Gustavo Gomez,PAR,DF,0,0,2,0,2,0,2,0.07,0.0,0
167,Chris Brady,USA,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Yaimar Medina,ECU,DF,0,0,1,0,1,0,1,0.04,0.0,0
167,Brian Gutierrez,MEX,MF,0,0,6,0,3,3,0,0.35,0.0,3
167,Fabian Balbuena,PAR,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Nilson Angulo,ECU,FW,0,2,2,50,0,2,0,0.04,25.98,7
167,Rodrigo Zalazar,URU,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Richard Rios,COL,MF,0,1,5,0,2,3,1,0.37,0.0,0
167,Jhon Cordoba,COL,FW,0,1,2,0,2,0,1,0.32,0.0,0
167,Matt Freese,USA,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Joel Ordonez,ECU,DF,0,0,2,0,2,0,1,0.26,0.0,0
167,Adalberto Carrasquilla,PAN,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Gatito Fernandez,PAR,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Folarin Balogun,USA,FW,0,5,14,21,14,0,2,2.02,1.49,0
167,Willer Ditta,COL,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,James Rodriguez,COL,MF,0,3,6,0,2,4,0,0.24,0.0,11
167,Johan Vasquez,MEX,DF,0,0,1,0,1,0,1,0.22,0.0,0
167,Weverton,BRA,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Jose Fajardo,PAN,FW,0,0,1,0,1,0,1,0.25,0.0,0
167,Sergino Dest,USA,DF,0,1,3,0,1,2,0,0.21,0.0,0
167,Jeremy Arevalo,ECU,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Max Arfsten,USA,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Deiver Machado,COL,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Orbelin Pineda,MEX,MF,0,0,1,0,1,0,0,0.09,0.0,0
167,Gabriel Martinelli,BRA,FW,0,1,2,50,1,1,0,0.49,2.04,0
167,Geronimo Rulli,ARG,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Kendry Paez,ECU,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Omar Alderete,PAR,DF,0,0,1,0,0,1,0,0.01,0.0,0
167,Jose Luis Rodriguez,PAN,MF,0,1,3,0,1,2,0,0.24,0.0,3
167,Enzo Fernandez,ARG,MF,0,4,12,17,4,8,2,0.9,2.22,0
167,Juan Musso,ARG,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Guillermo Martinez,MEX,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Amir Murillo,PAN,DF,0,1,5,0,4,1,0,0.37,0.0,0
167,David Ospina,COL,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Yerry Mina,COL,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Jordy Caicedo,ECU,FW,0,0,1,0,1,0,0,0.05,0.0,0
167,Irfan Can Kahveci,TUR,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Ajdin Hrustic,AUS,FW,0,0,3,0,2,1,0,0.11,0.0,1
167,Gavi,ESP,MF,0,0,1,0,1,0,0,0.01,0.0,0
167,Djibril Sow,SUI,MF,0,1,2,0,1,1,0,0.23,0.0,0
167,Kaan Ayhan,TUR,MF,0,1,1,100,1,0,0,0.68,1.48,0
167,Ivan Sunjic,BIH,MF,0,1,1,0,0,1,0,0.09,0.0,0
167,Utkir Yusupov,UZB,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Mohamed Toure,AUS,FW,0,1,4,0,4,0,1,0.26,0.0,0
167,Stepan Chaloupek,CZE,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Botirali Ergashev,UZB,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Awer Mabil,AUS,FW,0,0,1,0,0,1,0,0.03,0.0,0
167,Mert Gunok,TUR,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Viktor Johansson,SWE,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Findlay Curtis,SCO,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Taha Ali,SWE,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Yasin Ayari,SWE,MF,0,3,7,29,1,6,0,0.44,4.59,9
167,Patrick Beach,AUS,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Denis Visinsky,CZE,FW,0,0,3,0,2,1,0,0.26,0.0,0
167,John Souttar,SCO,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Farrukh Sayfiev,UZB,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Jordan Bos,AUS,DF,0,2,5,0,3,2,0,0.42,0.0,0
167,Kai Trewin,AUS,DF,0,0,1,0,0,1,0,0.0,0.0,0
167,Gabriel Gudmundsson,SWE,DF,0,0,0,0,0,0,0,0.0,0.0,1
167,Tomas Soucek,CZE,MF,0,0,1,0,1,0,0,0.12,0.0,0
167,Cameron Devlin,AUS,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Yunus Akgun,TUR,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Ben Old,NZL,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Nathan Patterson,SCO,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Jaroslav Zeleny,CZE,DF,0,0,1,0,1,0,1,0.02,0.0,0
167,Alex Grimaldo,ESP,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Nishan Velupillay,AUS,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Gustaf Lagerbielke,SWE,DF,0,1,3,0,3,0,3,0.13,0.0,0
167,Rustam Ashurmatov,UZB,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Jamshid Iskanderov,UZB,MF,0,0,0,0,0,0,0,0.0,0.0,1
167,Elliot Stroud,SWE,DF,0,0,1,0,1,0,0,0.09,0.0,3
167,Tyler Fletcher,SCO,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Jacob Widell Zetterstrom,SWE,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Lawrence Shankland,SCO,FW,0,0,4,0,4,0,2,0.35,0.0,0
167,Manuel Akanji,SUI,DF,0,1,1,0,1,0,0,0.18,0.0,0
167,Hakan Calhanoglu,TUR,MF,0,2,11,0,2,9,0,0.4,0.0,8
167,Aiden Oneill,AUS,MF,0,0,2,0,1,1,0,0.07,0.0,4
167,Nestory Irankunda,AUS,FW,0,3,6,17,4,2,1,0.81,1.23,0
167,Igor Sergeev,UZB,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Alex Paulsen,NZL,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Scott Mctominay,SCO,MF,0,3,8,0,8,0,3,0.65,0.0,0
167,Pau Cubarsi,ESP,DF,0,2,4,0,1,3,1,0.3,0.0,0
167,Cristian Volpato,AUS,FW,0,1,4,0,2,2,0,0.28,0.0,7
167,Isak Hien,SWE,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Dostonbek Khamdamov,UZB,MF,0,0,2,0,1,1,1,0.08,0.0,2
167,Haris Tabakovic,BIH,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Merih Demiral,TUR,DF,0,2,6,0,3,3,2,0.24,0.0,0
167,Dzenis Burnic,BIH,MF,0,0,1,0,0,1,0,0.02,0.0,0
167,Tomas Holes,CZE,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Salih Ozcan,TUR,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Caglar Soyuncu,TUR,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Yvon Mvogo,SUI,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Alessandro Circati,AUS,DF,0,0,3,0,2,1,2,0.13,0.0,0
167,Odiljon Xamrobekov,UZB,MF,0,0,1,0,1,0,0,0.16,0.0,0
167,Scott Mckenna,SCO,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Connor Metcalfe,AUS,MF,0,2,5,20,1,4,0,0.11,9.21,3
167,Hjalmar Ekdal,SWE,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Otabek Shukurov,UZB,MF,0,0,2,0,0,2,0,0.08,0.0,0
167,Jacob Italiano,AUS,DF,0,0,1,0,0,1,0,0.03,0.0,0
167,Harry Souttar,AUS,DF,0,1,1,0,1,0,1,0.05,0.0,0
167,Amar Dedic,BIH,DF,0,1,2,0,0,2,0,0.06,0.0,0
167,Ben Waine,NZL,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Sherzod Nasrullaev,UZB,DF,0,1,1,0,1,0,0,0.08,0.0,0
167,Ross Stewart,SCO,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Arda Guler,TUR,FW,0,4,12,8,3,9,0,0.75,1.34,11
167,Besfort Zeneli,SWE,MF,0,1,1,0,0,1,0,0.01,0.0,0
167,Gregor Kobel,SUI,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Nando Pijnaker,NZL,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Lamine Yamal,ESP,FW,0,12,27,4,13,14,0,2.44,0.41,15
167,Can Uzun,TUR,FW,0,1,4,0,3,1,0,0.39,0.0,0
167,Ladislav Krejci,CZE,DF,0,1,5,20,5,0,5,0.54,1.85,0
167,Eray Coemert,SUI,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Abduvohid Nematov,UZB,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Patrik Schick,CZE,FW,0,1,2,0,2,0,2,0.27,0.0,0
167,Callan Elliot,NZL,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Liam Kelly,SCO,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Lachlan Bayliss,NZL,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Jesse Randall,NZL,FW,0,0,1,0,0,1,0,0.01,0.0,3
167,Joan Garcia,ESP,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Oguz Aydin,TUR,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Nico Elvedi,SUI,DF,0,0,3,0,3,0,2,0.3,0.0,0
167,Abdulkerim Bardakci,TUR,DF,0,0,3,0,1,2,0,0.07,0.0,0
167,Jan Kuchta,CZE,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Lyndon Dykes,SCO,FW,0,0,1,0,1,0,1,0.15,0.0,0
167,Silvan Widmer,SUI,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Abdulla Abdullaev,UZB,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Kenny Mclean,SCO,MF,0,0,1,0,0,1,0,0.01,0.0,0
167,Kerem Akturkoglu,TUR,FW,0,1,3,0,2,1,0,0.59,0.0,0
167,Avazbek Ulmasaliyev,UZB,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Altay Bayindir,TUR,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Liberato Cacace,NZL,DF,0,1,1,0,1,0,0,0.02,0.0,2
167,Marc Pubill,ESP,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Samet Akaydin,TUR,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Benjamin Nygren,SWE,MF,0,0,1,0,0,1,0,0.03,0.0,3
167,Deniz Gul,TUR,FW,0,1,2,0,2,0,1,0.7,0.0,0
167,Mikel Merino,ESP,MF,0,3,5,40,5,0,1,1.57,1.27,0
167,Cedric Itten,SUI,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Marvin Keller,SUI,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Adam Hlozek,CZE,FW,0,1,3,0,2,1,0,0.31,0.0,0
167,Behruzjon Karimov,UZB,DF,0,0,2,0,0,2,0,0.03,0.0,0
167,Mathew Leckie,AUS,FW,0,0,1,0,1,0,0,0.1,0.0,0
167,Granit Xhaka,SUI,MF,0,2,9,11,1,8,0,1.16,0.86,0
167,Elijah Just,NZL,MF,0,5,7,43,5,2,0,0.86,3.48,0
167,David Doudera,CZE,DF,0,0,4,0,1,3,0,0.05,0.0,0
167,Tyler Bindon,NZL,DF,0,1,2,0,2,0,1,0.33,0.0,0
167,Aurele Amenda,SUI,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Michael Woud,NZL,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Victor Munoz,ESP,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Abbosbek Fayzullaev,UZB,MF,0,2,3,33,2,1,1,1.0,1.0,5
167,Dominic Hyam,SCO,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Sarpreet Singh,NZL,MF,0,2,4,0,2,2,0,0.22,0.0,0
167,Alexander Bernhardsson,SWE,DF,0,1,1,0,0,1,0,0.05,0.0,0
167,Nihad Mujakic,BIH,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Oston Urunov,UZB,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Christian Fassnacht,SUI,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Dan Ndoye,SUI,FW,0,8,16,13,15,1,1,0.86,2.31,0
167,Ismail Yuksek,TUR,MF,0,0,5,0,3,2,1,0.32,0.0,0
167,Fabian Ruiz,ESP,MF,0,2,8,13,4,4,1,1.33,0.75,0
167,Tomas Chory,CZE,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Zeki Celik,TUR,DF,0,1,1,0,1,0,0,0.1,0.0,1
167,Ugurcan Cakir,TUR,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Logan Rogerson,NZL,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Kristoffer Nordfeldt,SWE,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Paul Izzo,AUS,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,David Jurasek,CZE,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Unai Simon,ESP,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,David Raya,ESP,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Callum Mccowatt,NZL,MF,0,3,4,0,3,1,1,0.21,0.0,0
167,Victor Lindelof,SWE,DF,0,0,2,0,2,0,2,0.26,0.0,0
167,Lewis Ferguson,SCO,MF,0,1,2,0,0,2,0,0.09,0.0,8
167,Milos Degenek,AUS,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Pedro Porro,ESP,DF,0,3,7,29,4,3,1,1.1,1.82,0
167,Ardon Jashari,SUI,MF,0,0,2,0,0,2,0,0.03,0.0,0
167,Abdukodir Khusanov,UZB,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Nikola Vasilj,BIH,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Esmir Bajraktarevic,BIH,FW,0,2,3,0,1,2,0,0.11,0.0,1
167,Mojmir Chytil,CZE,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Jack Hendry,SCO,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Azizjon Ganiev,UZB,MF,0,0,1,0,0,1,0,0.01,0.0,1
167,Eric Smith,SWE,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Joe Bell,NZL,MF,0,0,1,0,0,1,0,0.01,0.0,0
167,Jason Geria,AUS,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Alex Rufer,NZL,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Ken Sema,SWE,MF,0,0,1,0,1,0,0,0.06,0.0,0
167,Finn Surman,NZL,DF,0,1,2,50,2,0,2,0.24,4.18,0
167,Denis Zakaria,SUI,MF,0,2,5,0,5,0,1,0.61,0.0,0
167,Lukas Provod,CZE,MF,0,0,1,0,0,1,0,0.05,0.0,0
167,David Zima,CZE,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Fabian Rieder,SUI,MF,0,2,7,0,4,3,0,1.09,0.0,8
167,Miro Muheim,SUI,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Ben Gannon Doak,SCO,FW,0,0,4,0,2,2,0,0.14,0.0,0
167,Herman Johansson,SWE,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Max Crocombe,NZL,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Mathew Ryan,AUS,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Yeremy Pino,ESP,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Borja Iglesias,ESP,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Daniel Svensson,SWE,DF,0,0,1,0,0,1,0,0.01,0.0,1
167,Ryan Thomas,NZL,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Matej Kovar,CZE,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Jakhongir Urozov,UZB,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Aziz Behich,AUS,DF,0,1,1,0,1,0,0,0.02,0.0,0
167,Robin Hranac,CZE,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Azizbek Amonov,UZB,FW,0,0,1,0,0,1,0,0.01,0.0,0
167,Michal Sadilek,CZE,MF,0,3,7,14,5,2,1,0.7,1.42,5
167,Zeki Amdouni,SUI,FW,0,0,1,0,0,1,0,0.0,0.0,0
167,Mattias Svanberg,SWE,MF,0,2,3,33,2,1,0,0.23,4.26,0
167,Aaron Hickey,SCO,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Noah Okafor,SUI,FW,0,0,1,0,1,0,0,0.18,0.0,0
167,Pedri,ESP,MF,0,2,5,0,1,4,0,0.47,0.0,8
167,Ryan Christie,SCO,MF,0,0,2,0,1,1,0,0.15,0.0,0
167,Ermedin Demirovic,BIH,FW,0,4,4,0,1,3,0,0.08,0.0,0
167,Mert Muldur,TUR,DF,0,0,3,0,3,0,3,0.22,0.0,0
167,Lukas Cerv,CZE,MF,0,2,3,0,1,2,0,0.06,0.0,0
167,Sherzod Esanov,UZB,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Edin Dzeko,BIH,FW,0,0,3,0,3,0,0,0.2,0.0,0
167,Michel Aebischer,SUI,MF,0,1,2,0,2,0,1,0.34,0.0,5
167,Luca Jaquez,SUI,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Martin Zubimendi,ESP,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Umar Eshmurodov,UZB,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Gustaf Nilsson,SWE,FW,0,0,1,0,1,0,1,0.01,0.0,0
167,Kenan Yildiz,TUR,FW,0,1,14,0,11,3,0,0.38,0.0,0
167,Pavel Sulc,CZE,FW,0,0,2,0,0,2,0,0.03,0.0,0
167,Kosta Barbarouses,NZL,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Carl Starfelt,SWE,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Francis De Vries,NZL,DF,0,0,0,0,0,0,0,0.0,0.0,2
167,Jackson Irvine,AUS,MF,0,1,3,0,3,0,1,0.21,0.0,0
167,Jindrich Stanek,CZE,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Rodri,ESP,MF,0,0,7,0,2,5,1,0.27,0.0,0
167,Che Adams,SCO,FW,0,1,1,0,1,0,0,0.15,0.0,0
167,George Hirst,SCO,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Cameron Burgess,AUS,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Michael Boxall,NZL,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Jesper Karlstrom,SWE,MF,0,0,1,0,1,0,0,0.05,0.0,0
167,Hugo Sochurek,CZE,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Eldor Shomurodov,UZB,FW,0,2,4,25,4,0,0,0.17,5.79,0
167,Khojiakbar Alijonov,UZB,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Eren Elmali,TUR,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Tete Yengi,AUS,FW,0,1,1,0,1,0,0,0.1,0.0,0
167,Ozan Kabak,TUR,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Lucas Herrington,AUS,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Anthony Elanga,SWE,FW,0,3,3,67,2,1,0,0.53,3.77,1
167,Ferdi Kadioglu,TUR,DF,0,0,1,0,0,1,0,0.04,0.0,0
167,Eric Garcia,ESP,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Lukas Hornicek,CZE,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Vladimir Darida,CZE,MF,0,0,1,0,1,0,0,0.01,0.0,0
167,Remo Freuler,SUI,MF,0,1,2,0,1,1,0,0.07,0.0,0
167,Marko Stamenic,NZL,MF,0,0,3,0,1,2,0,0.09,0.0,0
167,Amir Hadziahmetovic,BIH,MF,0,0,0,0,0,0,0,0.0,0.0,1
167,Mohamed Hadj Mahmoud,TUN,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Lyle Foster,RSA,FW,0,0,1,0,1,0,1,0.07,0.0,0
167,Raed Chikhaoui,TUN,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Dayne St Clair,CAN,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Ange Yoan Bonny,CIV,FW,0,1,1,0,0,1,0,0.05,0.0,0
167,Wilguens Paugain,HAI,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Munir El Kajoui,MAR,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Montassar Talbi,TUN,DF,0,0,1,0,1,0,1,0.08,0.0,0
167,Sipho Chaine,RSA,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Christopher Operi,CIV,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Jayden Adams,RSA,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Mortadha Ben Ouanes,TUN,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Krepin Diatta,SEN,DF,0,0,1,0,0,1,0,0.04,0.0,2
167,Lenny Joseph,HAI,FW,0,0,2,0,2,0,0,0.33,0.0,0
167,Wagner Pina,CPV,DF,0,0,1,0,1,0,0,0.18,0.0,0
167,Liam Millar,CAN,MF,0,0,1,0,1,0,1,0.04,0.0,0
167,Prince Adu,GHA,FW,0,0,1,0,1,0,0,0.25,0.0,0
167,Khulumani Ndamane,RSA,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Rayan Elloumi,TUN,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Alfie Jones,CAN,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Bara Sapoko Ndiaye,SEN,MF,0,1,1,0,0,1,0,0.04,0.0,0
167,Ime Okon,RSA,DF,0,0,1,0,1,0,1,0.01,0.0,0
167,Hossam Abdelmaguid,EGY,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Carlens Arcus,HAI,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Ruben Providence,HAI,FW,0,1,4,0,4,0,0,0.19,0.0,1
167,Simon Adingra,CIV,FW,0,0,0,0,0,0,0,0.0,0.0,1
167,Yahia Fofana,CIV,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Oswin Appollis,RSA,FW,0,1,4,0,0,4,0,0.15,0.0,7
167,Abdul Mumin,GHA,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Kamogelo Sebelebele,RSA,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Aymen Dahmen,TUN,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Laros Duarte,CPV,MF,0,3,3,0,2,1,0,0.7,0.0,1
167,Ismail Jakobs,SEN,DF,0,0,1,0,1,0,0,0.11,0.0,9
167,Joel Waterman,CAN,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Amad Diallo,CIV,FW,0,4,8,25,6,2,0,1.44,1.39,4
167,Cyle Larin,CAN,FW,0,4,9,22,9,0,3,1.27,1.58,0
167,Gessime Yassine,MAR,MF,0,1,2,50,1,1,0,0.45,2.21,1
167,Derrick Etienne,HAI,FW,0,0,0,0,0,0,0,0.0,0.0,1
167,Jonas Adjetey,GHA,DF,0,1,2,0,2,0,2,0.1,0.0,0
167,Emam Ashour,EGY,MF,0,2,10,20,5,5,1,1.06,1.89,4
167,Mahmoud Saber,EGY,MF,0,1,3,33,1,2,0,0.16,6.15,0
167,Yan Valery,TUN,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Ayoube Amaimouni,MAR,FW,0,1,2,0,2,0,0,0.29,0.0,0
167,Hamdy Fathy,EGY,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Pathe Ciss,SEN,MF,0,1,2,0,1,1,1,0.2,0.0,0
167,Samukele Kabini,RSA,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Keeto Thermoncy,HAI,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Martin Experience,HAI,DF,0,0,1,0,0,1,0,0.01,0.0,0
167,Danley Jean Jacques,HAI,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Bamba Dieng,SEN,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Josue Duverger,HAI,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Louicius Deedson,HAI,FW,0,0,2,0,1,1,0,0.05,0.0,1
167,Ghislain Konan,CIV,DF,0,0,4,0,3,1,0,0.28,0.0,0
167,Elye Wahi,CIV,FW,0,2,3,0,3,0,0,0.48,0.0,0
167,Dylan Bronn,TUN,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Anis Slimane,TUN,MF,0,1,1,0,1,0,1,0.11,0.0,2
167,Mouhib Chamakh,TUN,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Nkosinathi Sibisi,RSA,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Yasser Ibrahim,EGY,DF,0,1,1,100,1,0,1,0.12,8.42,0
167,Jean Ricner Bellegarde,HAI,MF,0,0,6,0,1,5,1,0.29,0.0,5
167,Habib Diarra,SEN,MF,0,1,3,67,2,1,0,0.54,3.68,0
167,Guela Doue,CIV,DF,0,0,1,0,1,0,0,0.01,0.0,0
167,Edouard Mendy,SEN,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Mahdy Soliman,EGY,GK,0,0,0,0,0,0,0,0.0,0.0,0
